,NOMBRE,NOTA1,NOTA2,NOTA3,PROMEDIO,RESULTADO
4,MIGUEL,7,10,5,7.333333333333333,REPROBADO
5,ALEJANDRO,5,12,13,10.0,REPROBADO
10,VALERIA,14,7,6,9.0,REPROBADO
12,LEANDRO,2,20,8,10.0,REPROBADO
14,PEDRO,16,9,1,8.666666666666666,REPROBADO
15,LUIS,0,0,6,2.0,REPROBADO
17,CARLOS,12,0,4,5.333333333333333,REPROBADO
20,BETTY,4,0,15,6.333333333333333,REPROBADO
21,BEATRIZ,12,1,9,7.333333333333333,REPROBADO
23,RENATA,13,0,9,7.333333333333333,REPROBADO
24,RAQUEL,5,15,2,7.333333333333333,REPROBADO
25,LESLIE,10,11,9,10.0,REPROBADO
27,IVAN,3,1,4,2.6666666666666665,REPROBADO
28,RAMIRO,1,11,11,7.666666666666667,REPROBADO
29,JANET,1,15,1,5.666666666666667,REPROBADO
